lr_pair,ligand_gene_symbol,WT_MEF.x,WT_BMDM.x,log2diff.x,receptor_gene_symbol,WT_MEF.y,WT_BMDM.y,log2diff.y,m1
Ccn1_Itgb2,Cyr61,960.921,2.1038,8.27573900657312,Itgb2,0.8166072,575.82319,-8.31073885283592,16.586477859409
Ccn1_Itgam,Cyr61,960.921,2.1038,8.27573900657312,Itgam,0.48287745,298.57655,-7.65838151439893,15.9341205209721
Col1a1_Cd93,Col1a1,2634.10771,3.65902,9.14361969428818,Cd93,0.26777,126.601,-6.653202791066,15.7968224853542
Pf4_Fgfr2,Pf4,1.018372098,633.40491,-8.29606795891963,Fgfr2,137.6287831,0.0425218,7.05500546907787,15.3510734279975
Col1a2_Cd93,Col1a2,1833.433666,3.52545,8.66305776415072,Cd93,0.26777,126.601,-6.653202791066,15.3162605552167
Cxcl12_Cxcr4,Cxcl12,532.95488,0.5292115,8.44778607220784,Cxcr4,0.239071,71.1842,-5.86435232531557,14.3121383975234
Vcam1_Itgb2,Vcam1,71.355422,0.2344891,5.87311512680495,Itgb2,0.8166072,575.82319,-8.31073885283592,14.1838539796409
Thbs1_Cd36,Thbs1,4977.1416,39.2272,6.95129213401829,Cd36,2.272886001,486.48954,-7.21866410098964,14.1699562350079
Col4a2_Cd93,Col4a2,247.91975,0.722455,7.17507059986637,Cd93,0.26777,126.601,-6.653202791066,13.8282733909324
Col4a1_Cd93,Col4a1,390.0937011,1.74056,7.15689976975069,Cd93,0.26777,126.601,-6.653202791066,13.8101025608167
Bgn_P2rx7,Bgn,2987.992522,4.37814,9.11833626134779,P2rx7,0.6005613,34.982989,-4.49066519503398,13.6090014563818
Jam3_Itgb2,Jam3,47.15029,0.488544,5.01557071510603,Itgb2,0.8166072,575.82319,-8.31073885283592,13.326309567942
Bgn_Tlr2,Bgn,2987.992522,4.37814,9.11833626134779,Tlr2,2.46755,49.7559,-3.87158694411896,12.9899232054668
Jam3_Itgam,Jam3,47.15029,0.488544,5.01557071510603,Itgam,0.48287745,298.57655,-7.65838151439893,12.673952229505
Pf4_Thbd,Pf4,1.018372098,633.40491,-8.29606795891963,Thbd,164.614,7.1471,4.34539420804879,12.6414621669684
Plat_Itgam,Plat,27.651227,0.1359827,4.65658415511642,Itgam,0.48287745,298.57655,-7.65838151439893,12.3149656695154
